日期,累计确诊,累计死亡,累计治愈
2021.03.15,11359048,158607,10989897
2021.03.16,11385339,158725,11007352
2021.03.17,11409831,158856,11027543
2021.03.18,11438734,159044,11045284
2021.03.19,11474605,159216,11063025
2021.03.20,11514331,159370,11063025
2021.03.21,11555284,159558,11107332
2021.03.22,11599130,159755,11130288
2021.03.23,11646081,159967,11151468
2021.03.24,11686796,160166,11181253
2021.03.25,11734058,160441,11205160
2021.03.26,11787534,160692,11231650
2021.03.27,11846652,160949,11264637
2021.03.28,11908910,161240,11295023
2021.03.29,11971624,161552,11323762
2021.03.30,12039644,161843,11355993
2021.03.31,12095855,162114,11393021
2021.04.01,12149335,162468,11434301
2021.04.02,12221665,162927,11474683
2021.04.03,12303131,163396,11525039
2021.04.04,12392260,164110,11569241
2021.04.05,12485509,164623,11629289
2021.04.06,12589067,165101,11682136
2021.04.07,12686049,165547,11732279
2021.04.08,12801785,166177,11792135
2021.04.09,12928574,166862,11851393
2021.04.10,13060542,167642,11913292
2021.04.11,13205926,168436,11990859
2021.04.12,13358805,169275,12081443
2021.04.13,13527717,170179,12156529
2021.04.14,13689453,171058,12253697
2021.04.15,13873825,172085,12336036
2021.04.16,14074564,173123,12429564
2021.04.17,14291917,174308,12547866
2021.04.18,14526609,175649,12671220
2021.04.19,14788109,177150,12809643
2021.04.20,15061919,178769,12953821
2021.04.21,15321089,180530,13108582
2021.04.22,15616130,182553,13276039
2021.04.23,15930965,184657,13454880
2021.04.24,16263695,186920,13648159
2021.04.25,16610481,189544,13867997
2021.04.26,16960172,192311,14085110
2021.04.27,17313163,195123,14304382
2021.04.28,17636307,197894,14556209
2021.04.29,17997267,201187,14817371
2021.04.30,18376524,204832,15086878
2021.05.01,18762976,208330,15384418
2021.05.02,19164969,211853,15684406
